epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3215.55,0.98124,0.70833,0.94202,0.66925,0.49734,0.55403,0.37308,0.94394,0.65847,0.92412,0.005842,0.005842,0.005842
44,3289.5,0.98569,0.71402,0.9441,0.67256,0.49371,0.55443,0.37351,0.94098,0.65566,0.92275,0.005743,0.005743,0.005743
45,3363.92,0.97956,0.705,0.9438,0.68507,0.49223,0.55576,0.3743,0.94056,0.65395,0.92347,0.005644,0.005644,0.005644
46,3438.13,0.97536,0.70239,0.94114,0.63339,0.49873,0.55949,0.37777,0.93546,0.65046,0.91859,0.005545,0.005545,0.005545
47,3511.91,0.97367,0.69816,0.94044,0.67037,0.49657,0.55962,0.37873,0.93264,0.64778,0.91929,0.005446,0.005446,0.005446
48,3585.98,0.97267,0.69959,0.94238,0.63591,0.51512,0.56083,0.3796,0.9307,0.6452,0.91931,0.005347,0.005347,0.005347
49,3659.51,0.97101,0.69914,0.9398,0.70333,0.49512,0.56487,0.38232,0.93228,0.64508,0.9187,0.005248,0.005248,0.005248
50,3733.97,0.96716,0.6923,0.93779,0.65956,0.50688,0.56698,0.38565,0.93394,0.64421,0.92059,0.005149,0.005149,0.005149
51,3807.89,0.96237,0.68745,0.93653,0.66232,0.50695,0.5675,0.38372,0.92761,0.64002,0.91789,0.00505,0.00505,0.00505
52,3881.74,0.96534,0.6891,0.93684,0.65731,0.50427,0.56296,0.38282,0.92526,0.63664,0.91688,0.004951,0.004951,0.004951
53,3955.32,0.96067,0.68237,0.9335,0.65289,0.50137,0.56382,0.38323,0.92893,0.64025,0.91924,0.004852,0.004852,0.004852
54,4029.28,0.95964,0.6844,0.9363,0.63309,0.52723,0.56569,0.38599,0.92549,0.6399,0.91893,0.004753,0.004753,0.004753
55,4103.73,0.96105,0.68197,0.93401,0.66582,0.50373,0.56503,0.38488,0.92548,0.63441,0.91606,0.004654,0.004654,0.004654
56,4177.32,0.95529,0.67762,0.93496,0.6414,0.53358,0.57154,0.3896,0.92177,0.63258,0.91575,0.004555,0.004555,0.004555
57,4251.23,0.94948,0.67361,0.93266,0.65427,0.52318,0.57185,0.38981,0.92145,0.63033,0.91413,0.004456,0.004456,0.004456
58,4325.31,0.94708,0.66947,0.93046,0.68028,0.51478,0.57181,0.39019,0.92197,0.63044,0.91599,0.004357,0.004357,0.004357
59,4399.65,0.95131,0.67276,0.93263,0.66655,0.53756,0.57971,0.3947,0.92173,0.62712,0.91585,0.004258,0.004258,0.004258
60,4473.91,0.94377,0.66538,0.92979,0.65911,0.53324,0.58192,0.39566,0.92176,0.62634,0.915,0.004159,0.004159,0.004159
61,4547.67,0.94518,0.66126,0.9287,0.68692,0.52531,0.58261,0.39708,0.91839,0.62677,0.91531,0.00406,0.00406,0.00406
62,4621.99,0.93696,0.65846,0.92955,0.64885,0.54199,0.58221,0.39615,0.91484,0.62327,0.91279,0.003961,0.003961,0.003961
63,4695.27,0.94191,0.66003,0.92719,0.64067,0.53263,0.5792,0.39334,0.9174,0.62321,0.91309,0.003862,0.003862,0.003862
64,4768.99,0.93655,0.65681,0.9253,0.64064,0.541,0.58025,0.39384,0.9165,0.62232,0.91337,0.003763,0.003763,0.003763
65,4843.03,0.94083,0.6589,0.92761,0.71411,0.52192,0.58328,0.39596,0.91576,0.62186,0.91296,0.003664,0.003664,0.003664
66,4916.63,0.93554,0.65064,0.92721,0.64529,0.5453,0.58271,0.39535,0.91468,0.61827,0.91145,0.003565,0.003565,0.003565
67,4991.32,0.93474,0.65002,0.92381,0.65964,0.53936,0.58451,0.39629,0.91262,0.6181,0.91047,0.003466,0.003466,0.003466
68,5065.64,0.93005,0.64712,0.92349,0.70326,0.52573,0.58769,0.39842,0.91298,0.61655,0.91079,0.003367,0.003367,0.003367
69,5140.59,0.93074,0.64574,0.92317,0.67298,0.53929,0.58668,0.39993,0.91008,0.61661,0.91079,0.003268,0.003268,0.003268
70,5215.14,0.92499,0.64156,0.92258,0.67081,0.53638,0.58383,0.39865,0.9099,0.61675,0.91096,0.003169,0.003169,0.003169
71,5289.82,0.92089,0.64175,0.91995,0.70135,0.52847,0.58608,0.39825,0.90933,0.61616,0.91101,0.00307,0.00307,0.00307
72,5363.95,0.91966,0.63837,0.91952,0.69194,0.52767,0.58545,0.39923,0.90967,0.61562,0.9104,0.002971,0.002971,0.002971
73,5438.02,0.91742,0.63715,0.92057,0.66763,0.53571,0.58543,0.39956,0.90802,0.61204,0.9101,0.002872,0.002872,0.002872
74,5513.11,0.91345,0.63181,0.91805,0.68307,0.52388,0.5825,0.39879,0.9094,0.61159,0.90983,0.002773,0.002773,0.002773
75,5587.8,0.91821,0.63292,0.9187,0.6686,0.53328,0.58661,0.4021,0.90651,0.61037,0.90822,0.002674,0.002674,0.002674
76,5662.18,0.91596,0.63217,0.91751,0.66409,0.54101,0.58961,0.40287,0.90774,0.61042,0.90861,0.002575,0.002575,0.002575
77,5736.89,0.91285,0.62919,0.91603,0.68536,0.5327,0.5898,0.40297,0.9053,0.60769,0.90719,0.002476,0.002476,0.002476
78,5811.17,0.90914,0.62566,0.9156,0.71061,0.5253,0.5927,0.40411,0.90579,0.60795,0.9073,0.002377,0.002377,0.002377
79,5885.54,0.90494,0.61975,0.91435,0.68248,0.53711,0.59421,0.40512,0.90567,0.60693,0.90686,0.002278,0.002278,0.002278
80,5959.05,0.90804,0.62167,0.91425,0.6828,0.53805,0.59253,0.40359,0.90648,0.60693,0.90739,0.002179,0.002179,0.002179
81,6033.78,0.89486,0.61184,0.91203,0.69249,0.54136,0.59396,0.40558,0.90576,0.60545,0.90764,0.00208,0.00208,0.00208
82,6107.99,0.90005,0.61483,0.91346,0.70725,0.53804,0.5947,0.40568,0.90453,0.60485,0.90701,0.001981,0.001981,0.001981
83,6181.51,0.89775,0.60899,0.91199,0.70098,0.53965,0.59621,0.40633,0.90307,0.60443,0.90674,0.001882,0.001882,0.001882
84,6255.61,0.89567,0.60947,0.91172,0.69692,0.53917,0.59601,0.40783,0.90236,0.60342,0.90643,0.001783,0.001783,0.001783
85,6330.11,0.89019,0.60838,0.90984,0.7079,0.54038,0.59763,0.40874,0.90142,0.60282,0.90589,0.001684,0.001684,0.001684
86,6404.25,0.89299,0.60586,0.91212,0.70497,0.53524,0.59895,0.40933,0.90168,0.60299,0.90569,0.001585,0.001585,0.001585
87,6478.18,0.893,0.60548,0.91082,0.71784,0.53278,0.59798,0.40755,0.90223,0.60229,0.90551,0.001486,0.001486,0.001486
88,6553.27,0.8883,0.60138,0.90894,0.70595,0.53594,0.59997,0.40886,0.90226,0.6017,0.90568,0.001387,0.001387,0.001387
89,6628.24,0.88759,0.5987,0.90717,0.70143,0.52637,0.59895,0.40771,0.90251,0.602,0.90613,0.001288,0.001288,0.001288
90,6702.88,0.88274,0.59659,0.90818,0.69042,0.54,0.59787,0.40687,0.90242,0.60222,0.90588,0.001189,0.001189,0.001189
91,6775.51,0.88265,0.57719,0.90147,0.68946,0.53729,0.59675,0.40527,0.9043,0.603,0.90677,0.00109,0.00109,0.00109
92,6848.13,0.87148,0.56889,0.89737,0.70009,0.53735,0.59662,0.40526,0.90537,0.60367,0.90692,0.000991,0.000991,0.000991
93,6920.07,0.8706,0.56739,0.89795,0.70437,0.53344,0.59693,0.40541,0.90656,0.60389,0.90752,0.000892,0.000892,0.000892
94,6991.68,0.86459,0.55922,0.8953,0.71009,0.53318,0.59708,0.40482,0.90671,0.60409,0.90774,0.000793,0.000793,0.000793
95,7064.06,0.86466,0.55945,0.89467,0.70007,0.53463,0.59778,0.40556,0.9076,0.60431,0.90797,0.000694,0.000694,0.000694
96,7136.16,0.85856,0.55496,0.89265,0.69356,0.53612,0.59775,0.40533,0.90753,0.60398,0.90806,0.000595,0.000595,0.000595
97,7207.74,0.85573,0.55297,0.89279,0.717,0.5276,0.59886,0.40544,0.90734,0.60388,0.90804,0.000496,0.000496,0.000496
98,7280.41,0.85272,0.55239,0.89204,0.70829,0.53057,0.59877,0.40584,0.90753,0.60421,0.90809,0.000397,0.000397,0.000397
99,7353.01,0.85263,0.54725,0.89151,0.70843,0.52988,0.59807,0.40493,0.9079,0.60397,0.90787,0.000298,0.000298,0.000298
100,7425.12,0.84897,0.54612,0.89031,0.70158,0.53306,0.5989,0.40542,0.90806,0.60385,0.90774,0.000199,0.000199,0.000199
